tipo,id,fechaoperacion,subusu,dato
0,889,2024-07-15 10:49:01.930000,0,4
0,1749,2024-07-03 17:01:27.917000,0,4
0,1751,2024-07-03 16:54:56.230000,0,1
0,1752,2024-07-03 16:55:57.967000,0,1
0,1753,2024-07-03 17:01:22.427000,0,4
0,1813,2025-10-23 18:00:21.613000,0,4
0,1960,2025-06-10 14:34:58.463000,0,1
0,1997,2024-11-26 11:28:21.273000,0,4
0,2022,2025-09-01 13:53:30.113000,0,1
0,2039,2024-12-26 17:57:52.437000,0,4
0,2174,2025-02-25 11:52:39.707000,0,4
0,2175,2025-02-25 11:56:15.143000,0,4
0,2182,2025-02-26 18:31:12.097000,0,4
0,2637,2025-10-20 17:19:19.320000,0,4
